team,opponent,team_score,opp_score,date,OT,neutral,home_game,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Opp-eFG%,Opp-TOV%,Opp-ORB%,Opp-FT/FGA
Akron,South Carolina,45,78,12/28/2013,0,FALSE,FALSE,70.3,121.9,64.5,0.575,0.4,0.442,45.5,46.2,6.3,6.3,0.375,29.5,33.3,0.375,0.508,8.9,54.8,0.222
Akron,Coppin State,77,66,12/31/2013,0,FALSE,TRUE,110,94.3,69.8,0.569,0.569,0.594,52.2,78.3,10,9.8,0.559,14.7,25.9,0.392,0.433,12.2,70,0.119
Akron,Marshall,59,58,1/2/2014,0,FALSE,TRUE,84.3,82.9,69.9,0.441,0.22,0.413,60.9,42.9,15.7,5.7,0.381,16.6,44.7,0.237,0.5,24.1,84.6,0.208
Akron,Ball State,72,68,1/8/2014,0,FALSE,FALSE,100,94.4,72.3,0.369,0.354,0.471,44.9,38.5,8.3,11.1,0.423,9.6,28.9,0.262,0.412,18.5,64.5,0.51
Akron,Ohio,83,80,1/12/2014,2,FALSE,FALSE,105.1,101.3,63.3,0.46,0.238,0.541,57.7,35.7,6.3,9.5,0.516,18.3,43.2,0.286,0.46,17,73.5,0.371
Akron,Miami (OH),59,52,1/15/2014,0,FALSE,TRUE,93.7,82.5,63.1,0.354,0.5,0.526,55.6,61.9,12.7,11.4,0.5,22.4,31,0.229,0.389,15.6,76.5,0.185
Akron,Toledo,61,75,1/18/2014,0,FALSE,TRUE,91,111.9,67.4,0.563,0.396,0.501,40.6,55,13.4,8,0.469,17.8,26.5,0.333,0.484,13.4,56.7,0.222
Akron,Eastern Michigan,78,66,1/22/2014,0,FALSE,FALSE,111.4,94.3,70.3,0.379,0.328,0.57,52.9,70.4,10,27.5,0.552,16.1,43.8,0.241,0.396,10.3,60.5,0.125
Akron,Central Michigan,82,74,1/25/2014,0,FALSE,FALSE,107.9,97.4,75.6,0.464,0.482,0.6,57.1,34.5,11.8,8.6,0.625,20.1,33.3,0.214,0.538,20.2,84.6,0.321
Akron,Ball State,73,46,1/29/2014,0,FALSE,TRUE,112.3,70.8,65.4,0.269,0.462,0.622,59.3,64,12.3,14.7,0.577,15.9,25,0.25,0.388,22.6,86.7,0.163
Akron,Kent State,57,60,2/1/2014,0,FALSE,FALSE,89.1,93.8,64.4,0.356,0.356,0.542,57.1,50,4.7,5,0.5,25.7,29.6,0.267,0.481,15.6,82.8,0.148
Akron,Eastern Michigan,52,48,2/5/2014,0,FALSE,TRUE,86.7,80,60.6,0.377,0.434,0.416,47.7,64.7,11.7,8.8,0.349,15.1,30.6,0.283,0.422,22.5,69,0.222
Akron,Bowling Green State,65,63,2/9/2014,0,FALSE,FALSE,100,96.9,65.3,0.236,0.309,0.531,52.6,38.5,13.8,10.5,0.518,19.8,41.4,0.145,0.51,23.8,64.3,0.292
Akron,Western Michigan,54,57,2/12/2014,0,FALSE,FALSE,83.1,87.7,64.6,0.296,0.407,0.438,49.2,38.9,12.3,9.7,0.389,19.7,31.4,0.222,0.446,23.7,70,0.348
Akron,Northern Illinois,62,54,2/15/2014,0,FALSE,TRUE,95.4,83.1,64.7,0.522,0.391,0.54,51.5,57.1,7.7,10,0.5,23.1,31,0.348,0.396,17.3,67.6,0.226
Akron,Buffalo,90,96,2/19/2014,0,FALSE,FALSE,132.4,141.2,67.8,0.224,0.343,0.607,42.6,25.7,5.9,4.3,0.597,5.2,32.4,0.149,0.692,10.5,60,0.217
Akron,Ohio,50,66,2/22/2014,0,FALSE,TRUE,82,108.2,60.9,0.446,0.375,0.368,56.3,26.7,4.9,4.8,0.313,11.8,41.5,0.268,0.585,15.2,82.6,0.075
Akron,Miami (OH),61,65,2/26/2014,0,FALSE,FALSE,91,97,67.3,0.321,0.357,0.473,54.4,66.7,4.5,20.6,0.438,14.7,25.7,0.214,0.443,13.8,84.8,0.34
Akron,Bowling Green State,57,47,3/1/2014,0,FALSE,TRUE,87.7,72.3,65,0.172,0.259,0.454,47,65.2,15.4,2.6,0.457,13.8,25,0.069,0.373,25.1,67.6,0.176
Akron,Buffalo,83,71,3/4/2014,0,FALSE,TRUE,112.2,95.9,74.4,0.5,0.375,0.599,56.9,24.1,10.8,10.3,0.589,13.9,29,0.304,0.509,18.9,88.9,0.296
Akron,Kent State,58,54,3/7/2014,0,FALSE,TRUE,92.1,85.7,63.3,0.5,0.292,0.488,42.9,50,6.3,13,0.479,12,18.2,0.25,0.346,10.3,64.9,0.138
Akron,Ohio,83,77,3/13/2014,0,TRUE,TRUE,127.7,118.5,64.7,0.739,0.261,0.668,47.3,32.1,10.8,10.3,0.685,12.9,32,0.435,0.567,16.7,60,0.15
Akron,Western Michigan,60,64,3/14/2014,1,TRUE,TRUE,96.8,103.2,55.4,0.281,0.421,0.464,53.5,47.8,8.1,8.8,0.474,16.9,40,0.105,0.454,12.6,71,0.278
Akron,IPFW,91,97,3/19/2014,0,FALSE,FALSE,131.9,140.6,68.7,0.304,0.304,0.71,45.5,52.8,10.1,9.1,0.688,13.6,25,0.25,0.709,11.8,62.5,0.345
Alabama A&M,New Mexico,52,88,11/9/2013,0,FALSE,FALSE,77.6,131.3,66.5,0.357,0.571,0.397,33.8,46.7,6,5,0.339,11,20,0.25,0.623,11.4,53.6,0.415
Alabama A&M,Alabama-Huntsville,79,73,11/14/2013,0,TRUE,TRUE,117.9,109,66.9,0.537,0.296,0.583,42.2,53.8,11.9,15.2,0.556,11.9,28.6,0.352,0.492,18.4,52.8,0.254
Alabama A&M,Western Michigan,69,73,11/17/2013,0,FALSE,FALSE,100,105.8,68.6,0.254,0.492,0.522,42.6,62.5,5.8,13.8,0.508,9.6,15.8,0.153,0.552,14.5,76.7,0.417
Alabama A&M,Eastern Kentucky,68,82,11/19/2013,0,FALSE,FALSE,91.9,110.8,74.1,0.608,0.353,0.517,43.9,76.2,6.8,10.3,0.5,18.8,13.5,0.333,0.469,13.1,82.8,0.735
Alabama A&M,Jacksonville State,69,76,11/25/2013,0,FALSE,TRUE,101.5,111.8,68.5,0.358,0.17,0.556,41.5,76.9,4.4,11.4,0.519,14,17.4,0.264,0.509,15,60,0.293
Alabama A&M,Tennessee State,66,65,12/3/2013,0,FALSE,FALSE,100,98.5,66.5,0.228,0.316,0.522,37.7,36,9.1,10.3,0.509,12.5,16.1,0.14,0.411,15.9,55.3,0.339
Alabama A&M,Oakwood,70,58,12/5/2013,0,FALSE,TRUE,92.1,76.3,75.5,0.45,0.267,0.481,58.8,55.6,13.2,14,0.475,17.3,37.1,0.217,0.405,22,81.8,0.19
Alabama A&M,Ohio,47,72,12/14/2013,0,FALSE,FALSE,65.3,100,72.2,0.296,0.352,0.381,43.8,66.7,12.5,3,0.333,23.7,21.1,0.204,0.552,22.1,76.9,0.396
Alabama A&M,Missouri State,47,68,12/21/2013,0,FALSE,FALSE,68.1,98.6,68.9,0.304,0.464,0.367,40.8,73.3,10.1,20,0.321,14.8,12.8,0.196,0.43,18,70.3,0.5
Alabama A&M,Alabama-Birmingham,57,69,12/29/2013,0,FALSE,FALSE,81.4,98.6,69.8,0.172,0.297,0.412,43.6,39.1,11.4,17.4,0.391,14.8,32.5,0.109,0.388,12.5,55.3,0.254
Alabama A&M,Jackson State,68,61,1/4/2014,0,FALSE,FALSE,93.2,83.6,72.9,0.717,0.5,0.551,38.9,38.9,12.3,7.9,0.478,20.9,13.8,0.522,0.429,27.9,68,0.595
Alabama A&M,Grambling,70,58,1/6/2014,0,FALSE,FALSE,107.7,89.2,64.8,0.31,0.379,0.526,52.5,75,9.2,17.9,0.5,15.4,38.2,0.207,0.479,23.8,70.4,0.277
Alabama A&M,Arkansas-Pine Bluff,64,72,1/11/2014,0,FALSE,TRUE,92.8,104.3,69.2,0.69,0.452,0.574,46.4,63.2,10.1,12.9,0.536,24.7,22.2,0.452,0.46,17.8,69,0.52
Alabama A&M,Mississippi Valley State,68,59,1/13/2014,0,FALSE,TRUE,103,89.4,66,0.564,0.2,0.488,55.6,60,7.6,20.5,0.482,9.3,33.3,0.273,0.412,13.3,74.4,0.211
Alabama A&M,Alabama State,58,67,1/18/2014,1,FALSE,FALSE,81.7,94.4,63.3,0.362,0.362,0.527,48.4,65,5.6,2.1,0.489,26.9,26.9,0.255,0.402,17.3,63.9,0.295
Alabama A&M,Southern,52,66,1/25/2014,0,FALSE,FALSE,78.8,100,65.9,0.596,0.362,0.431,40.4,25,3,7.9,0.362,16.8,15.2,0.383,0.411,11.5,75,0.644
Alabama A&M,Alcorn State,64,70,1/27/2014,1,FALSE,FALSE,94.1,102.9,60.1,0.453,0.313,0.411,47.8,42.9,5.9,2.3,0.344,11.5,37.5,0.313,0.5,13.8,62.1,0.373
Alabama A&M,Texas Southern,63,62,2/1/2014,0,FALSE,TRUE,105,103.3,59.7,0.298,0.362,0.587,51.8,79.2,5,9.7,0.606,15.8,26.1,0.128,0.478,17,69.7,0.422
Alabama A&M,Prairie View,67,55,2/3/2014,0,FALSE,TRUE,101.5,83.3,65.6,0.625,0.271,0.538,49.2,81.8,10.6,9.8,0.49,14,24,0.417,0.394,16,67.6,0.269
Alabama A&M,Arkansas-Pine Bluff,61,64,2/8/2014,0,FALSE,FALSE,89.7,94.1,67.7,0.308,0.346,0.512,49.2,61.9,16.2,3.7,0.471,18,21.9,0.231,0.534,26.7,79.3,0.386
Alabama A&M,Mississippi Valley State,91,82,2/10/2014,0,FALSE,FALSE,111,100,82,1,0.327,0.63,61.4,37,6.1,2.6,0.602,22.9,34.6,0.653,0.418,10.2,77.3,0.655
Alabama A&M,Alabama State,68,65,2/15/2014,1,FALSE,TRUE,93.2,89,64.5,0.411,0.286,0.508,49.3,45.8,4.1,12.2,0.464,14.3,19.4,0.286,0.42,14.5,72.5,0.321
Alabama A&M,Southern,62,70,2/22/2014,0,FALSE,TRUE,86.1,97.2,72.3,0.269,0.288,0.529,40.7,52.2,6.9,8.3,0.51,26.5,17.9,0.173,0.583,25.6,65.4,0.292
Alabama A&M,Alcorn State,56,64,2/24/2014,0,FALSE,TRUE,84.8,97,65.6,0.211,0.439,0.447,34.4,61.9,6.1,2.4,0.421,13.8,12.5,0.14,0.49,19,58.6,0.3
Alabama A&M,Prairie View,72,65,3/1/2014,0,FALSE,FALSE,101.4,91.5,71.3,0.587,0.457,0.612,52.3,57.1,11.3,16.3,0.576,24.7,33.3,0.413,0.395,18.7,65.8,0.351
Alabama A&M,Texas Southern,58,79,3/3/2014,0,FALSE,FALSE,85.3,116.2,68.3,0.218,0.4,0.478,39.4,52.4,8.8,15.4,0.436,14.2,10,0.182,0.5,12.3,63.9,0.317
Alabama A&M,Jackson State,72,59,3/6/2014,0,FALSE,TRUE,107.5,88.1,66.5,0.58,0.38,0.564,54,72.7,16.4,20.5,0.49,11.3,30.8,0.46,0.333,15.2,70.3,0.426
Alabama A&M,Grambling,80,63,3/8/2014,0,FALSE,TRUE,117.6,92.6,68.1,0.267,0.3,0.592,52.1,71,7.4,7.3,0.592,14.1,37.5,0.15,0.45,17.9,63.4,0.15
Alabama A&M,Arkansas-Pine Bluff,69,50,3/13/2014,0,TRUE,TRUE,100,72.5,69,0.509,0.283,0.524,63.6,60.9,14.5,14.3,0.472,21.7,46.9,0.358,0.349,19.9,79.4,0.245
Alabama A&M,Prairie View,49,55,3/14/2014,0,TRUE,TRUE,77.8,87.3,63.1,0.415,0.283,0.386,47.1,31.3,12.7,18.6,0.311,16.1,37.1,0.302,0.356,18,57.1,0.346
Alabama,Oklahoma,73,82,11/8/2013,0,TRUE,TRUE,105.8,118.8,69,0.279,0.246,0.528,46.5,13.8,8.7,4.8,0.5,17,36.4,0.197,0.5,10.8,55.3,0.302
Alabama,Texas Tech,76,64,11/14/2013,0,FALSE,TRUE,118.8,100,64.4,0.333,0.275,0.643,54.5,32.1,12.5,12.8,0.608,21.5,45.8,0.275,0.508,18.3,61.3,0.068
Alabama,Stillman,102,65,11/18/2013,0,FALSE,TRUE,130.8,83.3,78,0.492,0.206,0.656,54.9,45.9,11.5,23.1,0.627,14.5,43.3,0.365,0.455,23.7,63.4,0.06
