team,opponent,team_score,opp_score,date,OT,neutral,road_game,ORtg,DRtg,Pace,FTr,3PAr,TSP,TRBP,ASTP,STLP,BLKP,eFGP,TOVP,ORBP,FT,OeFGP,OTOVP,OORBP,OFT
Akron,Coppin State,79,62,2015-01-03,0,False,False,103.9,81.6,75.5,.349,.540,.538,46.2,46.2,14.5,9.1,.500,12.0,21.9,.254,.429,24.4,69.7,.250
Akron,Western Michigan,72,52,2015-01-06,0,False,False,118.0,85.2,61.2,.232,.500,.579,58.2,55.6,8.2,20.0,.571,12.6,38.5,.143,.441,14.7,75.9,.137
Akron,Toledo,67,84,2015-01-09,0,False,True,100.0,125.4,66.7,.263,.474,.522,42.4,43.5,10.4,8.1,.474,13.5,21.2,.228,.656,14.8,69.2,.438
Akron,Bowling Green,67,50,2015-01-14,0,False,False,103.1,76.9,64.6,.477,.568,.621,51.7,54.2,15.4,19.5,.636,22.9,28.6,.250,.361,16.4,64.1,.098
Akron,Central Michigan,82,76,2015-01-17,0,False,False,107.9,100.0,75.7,.483,.583,.556,56.5,51.9,5.3,17.1,.567,15.9,35.3,.233,.472,14.9,82.1,.491
Akron,Northern Illinois,61,64,2015-01-21,0,False,True,92.4,97.0,65.4,.217,.467,.461,49.2,50.0,19.7,8.6,.442,17.5,36.8,.133,.549,23.8,71.4,.463
Akron,Western Michigan,71,69,2015-01-24,0,False,True,98.6,95.8,71.7,.321,.375,.550,50.7,37.5,1.4,2.6,.509,16.8,16.1,.250,.491,12.7,78.9,.250
Akron,Ball State,59,47,2015-01-27,0,False,False,95.2,75.8,62.2,.182,.473,.494,54.1,52.2,6.5,10.3,.482,17.9,25.0,.109,.438,15.7,86.2,.104
Akron,Bowling Green,69,68,2015-01-31,0,False,True,97.2,95.8,70.9,.386,.579,.511,53.6,52.2,14.1,9.7,.482,16.2,32.4,.246,.442,18.7,78.1,.423
Akron,Ohio,82,83,2015-02-04,0,False,True,117.1,118.6,69.6,.087,.522,.571,49.2,53.1,8.6,11.1,.594,14.3,35.5,.000,.620,14.4,64.3,.296
Akron,Buffalo,75,72,2015-02-07,0,False,False,107.1,102.9,69.5,.481,.444,.565,46.4,68.0,7.1,9.1,.556,11.9,22.2,.278,.492,14.0,69.0,.197
Akron,Kent State,61,52,2015-02-10,0,False,False,101.7,86.7,60.1,.255,.345,.495,40.3,59.1,13.3,14.8,.455,7.5,18.2,.200,.427,18.7,65.5,.229
Akron,Eastern Michigan,75,78,2015-02-14,0,False,True,97.4,101.3,77.1,.282,.410,.424,56.3,52.0,15.6,13.5,.397,15.3,47.3,.167,.592,24.4,76.0,.408
Akron,Toledo,66,68,2015-02-18,0,False,False,98.5,101.5,66.6,.197,.475,.495,53.3,54.2,9.0,9.8,.459,11.9,32.3,.164,.482,13.4,75.9,.273
Akron,Miami (OH),52,57,2015-02-21,1,False,False,74.3,81.4,62.6,.203,.542,.402,58.9,57.9,11.4,4.4,.381,23.6,35.1,.119,.395,13.3,83.3,.211
Akron,Buffalo,62,67,2015-02-24,0,False,True,96.9,104.7,64.5,.172,.328,.494,47.3,44.0,6.3,12.0,.474,19.3,40.6,.121,.357,7.1,52.4,.349
Akron,Ohio,70,58,2015-02-27,0,False,False,111.1,92.1,63.0,.370,.519,.551,47.4,69.6,9.5,18.5,.528,12.4,28.6,.241,.377,12.6,65.5,.340
