team,opponent,team_score,opp_score,date,OT,neutral,road_game,ORtg,DRtg,Pace,FTr,3PAr,TSP,TRBP,ASTP,STLP,BLKP,eFGP,TOVP,ORBP,FT,OeFGP,OTOVP,OORBP,OFT
Alabama A&M,Ball State,62,63,2015-12-29,0,False,True,103.3,105.0,60.3,.245,.415,.524,42.4,68.0,5.0,4.0,.547,12.0,17.6,.075,.462,10.2,68.8,.288
Alabama A&M,Grambling,78,81,2016-01-02,1,False,True,111.4,115.7,62.5,.397,.333,.521,46.9,44.8,8.6,5.3,.508,8.6,27.0,.222,.583,10.7,74.1,.333
Alabama A&M,Jackson State,66,67,2016-01-04,0,False,True,97.1,98.5,68.4,.491,.358,.505,46.3,45.5,4.4,4.8,.500,14.6,23.5,.245,.474,14.1,69.7,.207
Alabama A&M,Arkansas-Pine Bluff,85,70,2016-01-09,0,False,False,118.1,97.2,71.6,.467,.400,.580,58.5,63.0,2.8,11.5,.517,12.1,25.0,.383,.578,10.4,96.0,.216
Alabama A&M,Mississippi Valley State,73,79,2016-01-11,0,False,False,114.1,123.4,64.5,.444,.397,.478,52.9,60.0,6.3,11.4,.452,7.4,41.5,.254,.595,9.8,70.4,.172
Alabama A&M,Alabama State,80,75,2016-01-16,1,False,True,102.6,96.2,69.1,.279,.441,.519,52.9,46.4,10.3,2.2,.471,15.5,39.4,.235,.461,16.7,64.9,.250
Alabama A&M,Alcorn State,58,63,2016-01-23,0,False,True,89.2,96.9,64.6,.292,.458,.531,50.0,33.3,4.6,2.3,.531,18.1,26.9,.146,.402,15.9,65.8,.230
Alabama A&M,Southern,52,73,2016-01-25,0,False,True,75.4,105.8,69.3,.471,.431,.417,48.5,58.8,5.8,2.6,.373,18.5,22.9,.275,.490,14.3,75.8,.423
Alabama A&M,Prairie View A&M,83,69,2016-01-30,0,False,False,116.9,97.2,70.6,.635,.365,.613,64.1,60.0,2.8,11.4,.548,17.4,46.4,.500,.453,8.8,77.8,.172
Alabama A&M,Texas Southern,68,71,2016-02-01,0,False,False,104.6,109.2,65.0,.439,.368,.494,49.2,45.5,6.2,2.8,.439,5.6,24.2,.316,.528,9.9,78.6,.283
Alabama A&M,Arkansas-Pine Bluff,71,66,2016-02-06,0,False,True,112.7,104.8,63.0,.633,.347,.557,50.9,38.1,7.9,2.9,.469,12.6,31.0,.510,.527,11.6,73.1,.145
Alabama A&M,Mississippi Valley State,64,66,2016-02-08,0,False,True,98.5,101.5,64.7,.382,.418,.492,42.1,30.4,13.8,5.4,.455,14.6,32.3,.255,.480,20.1,53.8,.333
Alabama A&M,Alabama State,68,74,2016-02-13,0,False,False,107.9,117.5,62.8,.460,.280,.558,53.1,48.0,3.2,4.3,.510,13.0,34.5,.340,.492,5.3,68.6,.154
Alabama A&M,Alcorn State,58,62,2016-02-20,0,False,False,100.0,106.9,58.7,.264,.396,.486,38.3,61.9,8.6,0.0,.434,13.2,17.9,.226,.595,15.4,68.4,.286
Alabama A&M,Southern,78,66,2016-02-22,0,False,False,114.7,97.1,67.6,.364,.345,.605,54.7,57.1,4.4,2.9,.582,9.9,23.8,.255,.463,11.9,75.0,.296
Alabama A&M,Texas Southern,54,77,2016-02-27,0,False,True,79.4,113.2,67.7,.300,.240,.473,41.0,78.9,7.4,8.9,.420,22.0,19.4,.240,.571,15.2,63.3,.079
Alabama A&M,Prairie View A&M,65,85,2016-02-29,0,False,True,86.7,113.3,74.7,.761,.370,.519,50.0,76.5,12.0,3.0,.402,25.5,28.1,.609,.653,21.8,81.8,.429
Alabama A&M,Grambling,58,65,2016-03-03,0,False,False,92.1,103.2,63.5,.451,.333,.468,48.1,61.9,6.3,5.4,.431,16.4,27.3,.275,.573,13.8,81.0,.208
Alabama A&M,Jackson State,54,51,2016-03-05,0,False,False,91.5,86.4,59.0,.580,.240,.423,56.5,50.0,10.2,6.7,.330,10.0,30.6,.420,.433,8.0,84.8,.115
Alabama A&M,Arkansas-Pine Bluff,61,53,2016-03-08,0,True,False,93.8,81.5,65.4,.612,.429,.482,54.0,75.0,13.8,11.8,.388,19.4,40.0,.469,.427,22.8,66.7,.250
Alabama A&M,Texas Southern,69,77,2016-03-09,0,True,False,109.5,122.2,62.8,.164,.224,.478,42.9,39.3,9.5,13.2,.455,8.9,41.7,.119,.526,12.6,44.1,.298
