Rank,Name,EM,ORtg,DRtg
73,Saint Mary's,10.371297038707418,107.45,97.08
74,South Dakota State,10.258424406729738,106.6,96.34
75,Penn State,10.150585066153326,101.28,91.13
76,Kansas State,9.700036336415394,102.66,92.96
77,Memphis,9.397627931386488,103.3,93.9
78,Pittsburgh,9.337017430637268,110.23,100.89
79,Green Bay,9.30213972983698,101.36,92.06
80,Tulsa,9.293929614833466,99.3,90.01
81,Creighton,9.065956231256067,108.09,99.03
82,Yale,9.06173258282157,103.81,94.75
83,Florida State,9.049803823747247,103.18,94.13
84,Clemson,8.941742417602235,100.8,91.86
85,New Mexico State,8.788791401105009,103.46,94.67
86,Louisiana Tech,8.683913743278602,104.03,95.34
87,Central Michigan,8.678643134075926,111.6,102.93
88,UC Santa Barbara,8.060283011117185,105.8,97.74
89,Colorado,8.057694633639244,104.85,96.79
90,Harvard,7.964530137789737,100.81,92.84
91,Sam Houston State,7.834642282786646,99.34,91.5
92,UNLV,7.511535286491231,104.19,96.67
93,Wyoming,7.416687527775942,102.0,94.59
94,Seton Hall,7.415279467379619,104.59,97.17
95,Cleveland State,7.391735375283012,103.57,96.18
96,San Diego,7.315100858548952,99.31,92.0
97,Tennessee,7.241155670178969,105.16,97.92
98,Boston College,7.186031050618645,106.24,99.05
99,Akron,7.062855860332519,101.13,94.07
100,Marquette,6.999006303758009,101.3,94.3
101,California,6.866937344239332,103.35,96.49
102,UC Irvine,6.741477386949235,102.54,95.8
103,Northwestern,6.544819854677854,105.73,99.19
104,UTEP,6.485517541863928,103.24,96.76
105,UC Davis,6.424312742464075,107.67,101.24
106,Toledo,6.237370834309225,109.75,103.52
107,Hofstra,6.1693558239136195,107.87,101.7
108,Hawai'i,5.907059847710762,102.75,96.84
109,Vermont,5.8977088448572985,98.77,92.88
110,Georgia Tech,5.73538558364298,97.38,91.65
111,Pepperdine,5.460164293154861,95.71,90.25
112,UAB,5.318012812300452,100.78,95.46
113,Wofford,5.28263692824639,102.55,97.27
114,North Carolina Central,5.206963966088949,101.31,96.1
115,Bowling Green,5.151963546587908,104.05,98.89
116,Portland,5.0613557702166645,104.87,99.81
117,Utah State,4.96584116955048,104.2,99.23
118,Washington,4.781324625940229,105.02,100.24
119,La Salle,4.712782969213535,97.25,92.53
120,St Bonaventure,4.7075852279931,98.86,94.15
121,Oregon State,4.207195950858164,94.36,90.15
