Name,FTO,FTD,Three_O,perc3,Three_D,REBO,REBD,TOP,TOFP
W Kentucky,0.21,0.229,0.267,0.363,0.373,0.324,0.734,0.163,0.131
W Michigan,0.247,0.276,0.244,0.337,0.356,0.285,0.765,0.154,0.151
W Virginia,0.238,0.338,0.228,0.325,0.331,0.413,0.746,0.163,0.223
Wagner,0.195,0.301,0.26,0.336,0.327,0.36,0.756,0.161,0.18
Wake Forest,0.224,0.284,0.255,0.316,0.334,0.317,0.71,0.171,0.13
Wash State,0.18,0.279,0.254,0.346,0.359,0.22,0.73,0.174,0.128
Washington,0.237,0.305,0.262,0.331,0.331,0.321,0.662,0.147,0.173
Weber State,0.22,0.215,0.32,0.355,0.356,0.253,0.761,0.175,0.137
WI-Grn Bay,0.218,0.251,0.259,0.35,0.363,0.294,0.706,0.135,0.183
WI-Milwkee,0.219,0.222,0.359,0.359,0.383,0.245,0.758,0.139,0.138
Wichita St,0.216,0.297,0.296,0.323,0.327,0.3,0.801,0.125,0.207
Winthrop,0.222,0.24,0.325,0.364,0.327,0.244,0.705,0.158,0.135
Wisconsin,0.216,0.243,0.29,0.349,0.373,0.305,0.74,0.146,0.163
Wm & Mary,0.194,0.215,0.305,0.368,0.331,0.23,0.746,0.142,0.132
Wofford,0.219,0.293,0.355,0.409,0.354,0.253,0.747,0.16,0.155
Wright State,0.181,0.32,0.331,0.378,0.33,0.168,0.76,0.151,0.183
Wyoming,0.235,0.286,0.422,0.372,0.354,0.157,0.715,0.156,0.136
Xavier,0.229,0.24,0.28,0.363,0.311,0.324,0.759,0.148,0.169
Yale,0.212,0.242,0.253,0.36,0.327,0.383,0.784,0.166,0.157
Youngs St,0.178,0.243,0.327,0.37,0.346,0.2,0.671,0.14,0.134
