Name,FTO,FTD,Three_O,perc3,Three_D,REBO,REBD,TOP,TOFP
SE Louisiana,0.174,0.243,0.256,0.312,0.358,0.274,0.693,0.198,0.166
SE Missouri,0.198,0.291,0.275,0.337,0.392,0.303,0.706,0.164,0.166
Seattle,0.192,0.247,0.325,0.378,0.333,0.281,0.734,0.192,0.150
Seton Hall,0.206,0.273,0.302,0.350,0.300,0.323,0.678,0.157,0.153
Siena,0.238,0.337,0.211,0.332,0.362,0.341,0.643,0.157,0.180
SIU Edward,0.204,0.261,0.307,0.369,0.360,0.259,0.700,0.177,0.170
South Dakota,0.207,0.256,0.275,0.358,0.339,0.287,0.737,0.144,0.154
Southern,0.223,0.312,0.205,0.305,0.298,0.294,0.678,0.170,0.172
St Bonavent,0.221,0.242,0.227,0.314,0.362,0.324,0.733,0.160,0.170
St Fran (NY),0.231,0.278,0.236,0.291,0.367,0.396,0.737,0.162,0.177
St Fran (PA),0.188,0.217,0.331,0.331,0.324,0.247,0.698,0.171,0.177
St Johns,0.200,0.243,0.256,0.345,0.326,0.256,0.673,0.135,0.163
St Josephs,0.193,0.227,0.262,0.299,0.347,0.297,0.719,0.163,0.163
St Marys,0.191,0.248,0.307,0.371,0.331,0.329,0.768,0.161,0.136
St Peters,0.236,0.309,0.278,0.343,0.312,0.305,0.707,0.168,0.181
Stanford,0.229,0.264,0.276,0.378,0.374,0.314,0.747,0.138,0.150
Ste F Austin,0.217,0.313,0.289,0.373,0.337,0.361,0.726,0.172,0.215
Stetson,0.189,0.236,0.269,0.318,0.371,0.228,0.660,0.162,0.137
Stony Brook,0.190,0.234,0.246,0.322,0.342,0.359,0.773,0.156,0.161
Syracuse,0.198,0.215,0.222,0.301,0.315,0.325,0.710,0.151,0.182
Temple,0.220,0.242,0.289,0.304,0.314,0.298,0.728,0.122,0.162
Tennessee,0.188,0.291,0.287,0.331,0.369,0.347,0.689,0.165,0.194
Texas,0.212,0.264,0.278,0.339,0.347,0.373,0.758,0.168,0.120
Texas A&M,0.199,0.258,0.243,0.347,0.310,0.321,0.737,0.165,0.167
Texas State,0.224,0.248,0.254,0.311,0.305,0.267,0.697,0.172,0.199
Texas Tech,0.244,0.261,0.260,0.323,0.339,0.322,0.692,0.184,0.172
TN Martin,0.173,0.220,0.342,0.394,0.354,0.291,0.757,0.161,0.135
TN State,0.222,0.296,0.298,0.349,0.327,0.243,0.692,0.193,0.156
TN Tech,0.196,0.296,0.245,0.323,0.368,0.350,0.731,0.172,0.164
Toledo,0.226,0.231,0.236,0.366,0.317,0.302,0.716,0.157,0.139
Towson,0.264,0.320,0.187,0.301,0.342,0.385,0.727,0.175,0.128
Troy,0.204,0.207,0.302,0.335,0.333,0.302,0.678,0.182,0.166
Tulane,0.196,0.253,0.301,0.320,0.337,0.307,0.726,0.169,0.177
Tulsa,0.221,0.225,0.257,0.323,0.333,0.296,0.740,0.151,0.170
TX A&M-CC,0.263,0.313,0.226,0.335,0.322,0.288,0.683,0.167,0.175
TX Christian,0.230,0.324,0.200,0.327,0.336,0.359,0.695,0.152,0.170
TX El Paso,0.218,0.232,0.243,0.366,0.336,0.277,0.719,0.163,0.162
TX Southern,0.238,0.241,0.232,0.322,0.344,0.302,0.684,0.168,0.157
TX-Arlington,0.207,0.291,0.276,0.313,0.319,0.294,0.689,0.180,0.167
TX-Pan Am,0.226,0.254,0.199,0.282,0.341,0.265,0.648,0.180,0.159
TX-San Ant,0.233,0.212,0.272,0.326,0.367,0.327,0.694,0.154,0.175
U Mass,0.240,0.255,0.195,0.295,0.350,0.324,0.707,0.175,0.150
U Penn,0.198,0.280,0.276,0.346,0.376,0.265,0.722,0.207,0.158
UAB,0.217,0.242,0.247,0.332,0.319,0.324,0.692,0.171,0.167
UC Davis,0.203,0.244,0.359,0.441,0.346,0.254,0.677,0.186,0.152
UC Irvine,0.169,0.259,0.285,0.382,0.335,0.287,0.699,0.157,0.147
UC Riverside,0.197,0.294,0.305,0.330,0.397,0.280,0.725,0.174,0.163
UCLA,0.196,0.236,0.258,0.368,0.356,0.315,0.736,0.150,0.155
UCSB,0.192,0.284,0.300,0.370,0.354,0.295,0.730,0.145,0.155
UMKC,0.233,0.267,0.308,0.334,0.336,0.291,0.661,0.170,0.199
UNLV,0.178,0.227,0.313,0.361,0.351,0.251,0.700,0.151,0.137
USC,0.186,0.228,0.238,0.329,0.330,0.301,0.672,0.171,0.161
Utah,0.217,0.249,0.319,0.401,0.312,0.303,0.747,0.158,0.160
Utah State,0.188,0.220,0.341,0.394,0.299,0.198,0.677,0.147,0.142
Utah Val St,0.208,0.265,0.295,0.298,0.343,0.262,0.705,0.176,0.154
VA Military,0.180,0.288,0.425,0.314,0.341,0.297,0.690,0.166,0.177
VA Tech,0.166,0.247,0.335,0.389,0.351,0.229,0.643,0.158,0.158
Valparaiso,0.196,0.241,0.307,0.384,0.334,0.326,0.757,0.160,0.163
Vanderbilt,0.218,0.251,0.313,0.396,0.340,0.303,0.686,0.174,0.154
VCU,0.201,0.254,0.337,0.343,0.345,0.301,0.721,0.132,0.205
Vermont,0.221,0.281,0.238,0.349,0.309,0.254,0.731,0.179,0.174
Villanova,0.216,0.219,0.355,0.389,0.305,0.315,0.733,0.139,0.187
Virginia,0.201,0.213,0.229,0.352,0.308,0.336,0.780,0.133,0.157
