Name,FTO,FTD,Three_O,perc3,Three_D,REBO,REBD,TOP,TOFP
W Kentucky,0.245,0.164,0.264,0.338,0.384,0.222,0.759,0.176,0.156
W Michigan,0.204,0.257,0.22,0.333,0.396,0.275,0.73,0.17,0.173
W Virginia,0.193,0.204,0.265,0.37,0.301,0.381,0.71,0.12,0.305
Wagner,0.216,0.325,0.298,0.331,0.347,0.388,0.719,0.191,0.183
Wake Forest,0.22,0.196,0.295,0.382,0.342,0.312,0.744,0.158,0.152
Wash State,0.253,0.208,0.225,0.331,0.327,0.178,0.731,0.183,0.127
Washington,0.199,0.309,0.266,0.401,0.387,0.378,0.745,0.157,0.155
Weber State,0.207,0.201,0.313,0.301,0.361,0.204,0.72,0.176,0.177
WI-Grn Bay,0.219,0.226,0.261,0.284,0.358,0.248,0.713,0.159,0.161
WI-Milwkee,0.151,0.225,0.399,0.384,0.385,0.25,0.736,0.182,0.154
Wichita St,0.22,0.239,0.31,0.384,0.291,0.305,0.797,0.142,0.201
Winthrop,0.212,0.238,0.347,0.354,0.329,0.194,0.667,0.186,0.164
Wisconsin,0.154,0.186,0.336,0.344,0.343,0.393,0.841,0.152,0.169
Wm & Mary,0.219,0.234,0.339,0.329,0.392,0.266,0.764,0.159,0.137
Wofford,0.18,0.317,0.361,0.341,0.327,0.234,0.663,0.183,0.14
Wright State,0.254,0.243,0.338,0.369,0.378,0.294,0.741,0.189,0.179
Wyoming,0.264,0.288,0.362,0.317,0.302,0.189,0.757,0.171,0.186
Xavier,0.211,0.241,0.265,0.312,0.352,0.334,0.823,0.157,0.19
Yale,0.143,0.243,0.325,0.371,0.295,0.276,0.759,0.159,0.125
Youngs St,0.165,0.237,0.324,0.359,0.333,0.21,0.692,0.151,0.143
