Name,PPG,3PG,opp 3%,Fouls PG,TOF PG,TO PG,REB MAR,FT PG
St. Bonaventure,77.7,8.3,32.1,19.4,13.22580645,11.51612903,-1.1,17.06451613
St. Francis Brooklyn,65.5,7.5,33,18.8,12.625,13.8125,0.9,13.59375
St. John's (NY),67.9,6.4,37,21.3,14.625,15.34375,-3.8,14.1875
St. Mary's (CA),73.6,8.7,32.9,15.4,9.628571429,9.571428571,5.1,10.6
Stanford,69.6,5.7,36.4,20,13.5,11.83333333,-0.9,16.93333333
Stetson,80.3,8.3,34.5,18.1,12.26470588,12.29411765,-4.4,15.38235294
Stony Brook,76.2,6.7,32.7,15.8,12.6969697,11.48484848,7.7,13
Syracuse,70,8.5,30.7,16.2,13.37837838,11.89189189,-1,13.67567568
TCU,66.9,5.7,34.8,20.5,14.78787879,14.48484848,-2.8,16.78787879
Temple,68.7,7.7,31.2,16.3,10.84848485,9.242424242,-1.1,11.15151515
Tennessee,75.1,7.4,34.2,19.5,12.26470588,11.17647059,-2,15.38235294
Tennessee St.,73.3,5.6,35.9,20.6,15.51612903,13.74193548,2.6,16.4516129
Tennessee Tech,77.9,8.6,36.1,19.4,11.58064516,12.35483871,-0.5,18.25806452
Texas,71.4,7,34.5,20.8,12.42424242,10.33333333,-1.3,15
Texas A&M,76.4,7.6,33.3,18.1,14.43243243,12.08108108,4.4,15.27027027
Texas Southern,72.8,6.7,33.5,15.2,10.75757576,13.15151515,5.1,14.6969697
Texas St.,66,4.8,34.6,18.6,14.16129032,11.93548387,0.1,14.29032258
Texas Tech,72,5.8,35.6,18.4,12.8125,12.03125,0.3,17.1875
The Citadel,86,11.3,35,24.1,16.8125,13.78125,-8.9,16.0625
Toledo,77.6,8.2,38.6,17.3,12.1875,11.65625,3,15.28125
Towson,71.5,5.5,34.4,20.6,12.54545455,12.15151515,7.2,17.15151515
Troy,69.2,6.7,35.5,18.8,12.58064516,12.12903226,-2.2,14.74193548
Tulane,65.9,6.4,35.3,19.1,12.97058824,13.26470588,0.1,12.35294118
Tulsa,73.6,6.8,35.9,17.6,14.15625,10.8125,-1.9,15.46875
UAB,79,7.6,32.7,17.6,12.66666667,12.54545455,3.4,14.3030303
UC Davis,63.8,5.5,31,17.7,13.56666667,14.23333333,-0.8,11.86666667
UC Irvine,71.2,6.3,33.4,18.6,11.65789474,12.39473684,2.3,13.44736842
UC Riverside,69.7,7.6,34,19.8,12,13.12121212,0.7,14.27272727
UC Santa Barbara,70.8,7.6,30,19.6,12.21212121,12.66666667,1.8,11.09090909
UCF,68.7,6.9,32.3,15.6,9.266666667,14.66666667,2.5,14.16666667
UCLA,77.5,6.3,35.4,18.6,11.6875,12.25,2.5,14.0625
UConn,73.1,7.1,32.6,18.3,12.22222222,10.94444444,1.7,13.55555556
UL Lafayette,79.6,6.5,36.3,18.7,12,12.5,8.1,18.29411765
UMass Lowell,76.6,8.3,36.8,20.6,14.4137931,15.68965517,-4.7,13.13793103
UMBC,72.1,6.8,38,20,13.8125,12.4375,-3.9,16.09375
UMES,68.1,6.3,35.2,21.6,12.875,16,1.8,14.34375
UMKC,69.4,6.9,34.4,21,12.19354839,13.38709677,0.6,14.41935484
UNC Asheville,75.1,5.7,29.1,17.3,15.58823529,13.05882353,2.2,16.5
UNCG,72.6,8.7,37,19.9,12.14705882,11.97058824,-0.8,11.55882353
UNCW,79.4,7,33.5,24.1,15,11.33333333,0.8,16.18181818
UNI,68.8,8.3,32.1,15.6,11.77777778,9.916666667,-4.1,13.30555556
UNLV,78.2,7.6,33,21.2,15.27272727,14.12121212,-0.5,16.81818182
USC Upstate,72.3,6.8,36.6,19.5,11.28125,14.03125,1.7,11.78125
UT Arlington,78.9,8.8,33.6,20.9,15.08571429,13.77142857,8.4,15.51428571
UT Martin,73,7.8,34,17.4,12,12.17142857,1.9,14.4
Utah,77.2,7.6,37.1,15.3,10.5,12.52777778,4.6,15.30555556
Utah St.,73.4,8.3,34.4,17.6,11.41935484,12.03225806,1.2,13.32258065
Utah Valley,76,8.5,32.6,20.9,12.83333333,13.3,-3.4,15.13333333
UTEP,77.4,6.8,33.7,20.4,14.33333333,12.63636364,-3,16.33333333
UTRGV,66.4,7.1,34.4,17.9,10.23333333,12.46666667,-7.7,11.63333333
UTSA,72.4,6.9,40.8,22,12.84375,13.59375,-2.9,15.78125
Valparaiso,75.2,8.1,32.9,19.8,12.89189189,12.94594595,8.8,15.02702703
Vanderbilt,75.9,8.3,29.4,19.2,9.878787879,11.6969697,1.1,15.72727273
