Name,FTO,FTD,Three_O,perc3,Three_D,REBO,REBD,TOP,TOFP,,,,,,,
Providence,0.253,0.250,0.255,0.347,0.328,0.339,0.717,0.146,0.141,,,,,,,
Purdue,0.213,0.299,0.228,0.328,0.326,0.345,0.718,0.147,0.144,,,,,,,
Quinnipiac,0.269,0.276,0.206,0.357,0.347,0.400,0.754,0.143,0.104,,,,,,,
Radford,0.211,0.279,0.243,0.357,0.383,0.303,0.694,0.136,0.151,,,,,,,
Rhode Island,0.237,0.303,0.205,0.315,0.286,0.311,0.708,0.178,0.149,,,,,,,
Rice,0.176,0.324,0.381,0.324,0.347,0.187,0.704,0.177,0.144,,,,,,,
Richmond,0.222,0.282,0.286,0.322,0.300,0.233,0.682,0.142,0.169,,,,,,,
Rider,0.248,0.301,0.310,0.397,0.385,0.288,0.710,0.165,0.167,,,,,,,
Rob Morris,0.209,0.272,0.314,0.385,0.335,0.293,0.706,0.147,0.165,,,,,,,
Rutgers,0.215,0.315,0.253,0.329,0.374,0.305,0.692,0.155,0.153,,,,,,,
S Alabama,0.215,0.294,0.353,0.333,0.348,0.301,0.702,0.157,0.141,,,,,,,
S Car State,0.202,0.311,0.237,0.280,0.338,0.328,0.667,0.188,0.149,,,,,,,
S Carolina,0.257,0.371,0.252,0.378,0.326,0.373,0.681,0.177,0.171,,,,,,,
S Dakota St,0.252,0.277,0.271,0.339,0.355,0.291,0.794,0.155,0.147,,,,,,,
S Florida,0.239,0.248,0.139,0.258,0.370,0.294,0.708,0.165,0.150,,,,,,,
S Illinois,0.225,0.292,0.206,0.330,0.337,0.312,0.719,0.161,0.171,,,,,,,
S Methodist,0.220,0.269,0.199,0.379,0.321,0.336,0.709,0.173,0.182,,,,,,,
S Mississippi,0.259,0.303,0.235,0.347,0.343,0.381,0.722,0.172,0.200,,,,,,,
S Utah,0.231,0.387,0.227,0.326,0.383,0.215,0.674,0.191,0.143,,,,,,,
Sac State,0.202,0.332,0.268,0.370,0.349,0.288,0.704,0.153,0.157,,,,,,,
Sacred Hrt,0.208,0.305,0.273,0.327,0.342,0.294,0.677,0.151,0.158,,,,,,,
Saint Louis,0.221,0.250,0.242,0.317,0.296,0.262,0.735,0.162,0.182,,,,,,,
Sam Hous St,0.253,0.332,0.276,0.382,0.351,0.319,0.707,0.161,0.178,,,,,,,
Samford,0.202,0.341,0.208,0.326,0.368,0.246,0.678,0.167,0.147,,,,,,,
San Diego,0.221,0.271,0.297,0.380,0.350,0.259,0.719,0.164,0.151,,,,,,,
San Diego St,0.245,0.231,0.212,0.342,0.308,0.338,0.737,0.127,0.178,,,,,,,
San Fransco,0.209,0.290,0.270,0.360,0.353,0.304,0.731,0.148,0.145,,,,,,,
San Jose St,0.210,0.329,0.413,0.328,0.352,0.260,0.705,0.176,0.128,,,,,,,
Santa Clara,0.218,0.323,0.315,0.364,0.358,0.272,0.689,0.134,0.155,,,,,,,
Savannah St,0.215,0.325,0.237,0.308,0.303,0.298,0.660,0.205,0.181,,,,,,,
SC Upstate,0.205,0.277,0.259,0.318,0.342,0.347,0.715,0.155,0.155,,,,,,,
SE Louisiana,0.211,0.312,0.303,0.365,0.333,0.224,0.683,0.164,0.136,,,,,,,
SE Missouri,0.199,0.308,0.241,0.356,0.376,0.309,0.739,0.160,0.139,,,,,,,
Seattle,0.187,0.327,0.327,0.342,0.348,0.347,0.716,0.169,0.158,,,,,,,
Seton Hall,0.229,0.292,0.310,0.358,0.349,0.239,0.741,0.161,0.160,,,,,,,
Siena,0.247,0.349,0.192,0.328,0.330,0.370,0.680,0.167,0.157,,,,,,,
SIU Edward,0.197,0.284,0.294,0.371,0.339,0.266,0.691,0.176,0.169,,,,,,,
South Dakota,0.236,0.275,0.274,0.352,0.392,0.224,0.708,0.168,0.137,,,,,,,
Southern,0.199,0.359,0.258,0.346,0.305,0.295,0.717,0.176,0.157,,,,,,,
St Bonavent,0.229,0.302,0.192,0.326,0.355,0.347,0.725,0.158,0.187,,,,,,,
St Fran (NY),0.203,0.307,0.263,0.315,0.338,0.327,0.743,0.163,0.159,,,,,,,
St Fran (PA),0.181,0.223,0.344,0.320,0.375,0.238,0.698,0.149,0.151,,,,,,,
St Johns,0.210,0.269,0.205,0.349,0.346,0.288,0.720,0.134,0.164,,,,,,,
St Josephs,0.207,0.233,0.308,0.379,0.342,0.284,0.748,0.162,0.133,,,,,,,
St Marys,0.249,0.288,0.292,0.381,0.343,0.344,0.734,0.154,0.158,,,,,,,
St Peters,0.245,0.290,0.249,0.316,0.333,0.292,0.711,0.160,0.155,,,,,,,
