Name,PPG,TPG,opp3,FPG,TOF,TO,REB,FTPG,perc3
Morehead St.,71.1,6.5,34.2,23,14.91176471,13.58823529,4.5,14.41176471,34.4
Morgan St.,61.2,5.3,34.2,18.70967742,14.22580645,10.70967742,-3.3,12.5483871,28.4
Mount St. Mary's,63.1,7.6,34.3,18.3,13.7,12.23333333,-2.4,11.36666667,33
Murray St.,79,7.5,34.3,18.54285714,13.2,11.74285714,3.8,16.54285714,38.7
Navy,61,5.3,34.3,17.3125,12.625,12.21875,-0.5,10.75,32.8
Nebraska,61.5,5.2,34.3,18.74193548,13.38709677,12.5483871,-2,13.41935484,28.4
Nebraska Omaha,76.8,6.2,34.9,20.34482759,15.17241379,13.48275862,0.1,17.68965517,33.2
Nevada,60.5,3.6,34.3,19.4516129,10.09677419,14.06451613,5.9,15.77419355,26.6
New Hampshire,67.1,7.2,34.4,18.96875,11.78125,12.3125,4.7,13.21875,37.4
New Mexico,62,4.8,34.4,17.35483871,11.64516129,12.64516129,4.8,12.93548387,30.8
New Mexico St.,68.1,4.9,34.4,15.91176471,13.17647059,13.82352941,6.4,15.73529412,36.7
New Orleans,71.1,4.2,34.5,20.96551724,15.37931034,15.5862069,1.9,18.31034483,33.6
Niagara,64.3,6.1,34.5,18.63333333,11.93333333,13.6,0.2,15.33333333,35.1
Nicholls St.,64.9,5.3,34.5,21.89655172,13.89655172,16.96551724,-1.4,13.93103448,31.3
NJIT,71.8,8.5,34.5,19.57575758,13.21212121,13.63636364,-0.5,14.33333333,37.6
Norfolk St.,70.1,5.6,34.5,19.64705882,12.44117647,13.52941176,4.9,14.55882353,34.6
North Carolina,77.7,4.8,34.5,19.42105263,12.31578947,12.65789474,7.7,15.02631579,35.8
North Carolina A&T,58.9,4.9,34.3,18.5625,12.25,15.09375,-0.3,13.46875,28.3
North Carolina Central,69,6.6,34.3,19.27272727,13.3030303,12.54545455,3.9,13.12121212,36.9
North Carolina St.,70.1,6.6,34.5,17.69444444,9.694444444,10.41666667,3.4,13.86111111,35.6
North Dakota,67.7,6,34.5,21.33333333,13.33333333,12.43333333,-3.6,14.2,33.1
North Dakota St.,64.9,7,34.6,15.27272727,10.51515152,9.848484848,1.7,12.87878788,38.3
North Florida,75.7,9.1,34.6,16.22857143,12.14285714,12.45714286,0.9,15.42857143,39.1
North Texas,65.3,4.7,34.6,17.67741935,13.67741935,13.5483871,-0.7,13.74193548,30.1
Northeastern,68.5,5.8,34.7,14.17142857,9.971428571,13.8,5.1,14.8,38.6
Northern Arizona,68.6,6.7,34.7,18.65789474,11,11.76315789,5.7,15.65789474,34.7
Northern Colorado,74.7,6.8,34.7,19.8,13.3,10.43333333,-0.6,14.33333333,38.1
