Name,date,ORTG,ORTGlast3,home_ORTG,away_ORTG,ORTGprevSeason,DRTG,DRTGlast3,home_DRTG,away_DRTG,DRTGprevSeason
Detroit Mercy,2012-11-13,0.0,0.0,0.0,0.0,1.0288700000000002,0.0,0.0,0.0,0.0,0.993556
St John's,2012-11-13,0.0,0.0,0.0,0.0,0.9638610000000001,0.0,0.0,0.0,0.0,1.0267899999999999
Butler,2012-11-13,1.12676,1.12676,1.12676,0.0,0.941909,0.8983629999999999,0.8983629999999999,0.8983629999999999,0.0,0.9159999999999999
Xavier,2012-11-13,1.66075,1.66075,1.66075,0.0,1.01159,1.0645799999999999,1.0645799999999999,1.0645799999999999,0.0,0.963458
Michigan State,2012-11-13,0.9229620000000001,0.9229620000000001,0.0,0.9229620000000001,1.0759999999999998,0.982508,0.982508,0.0,0.982508,0.890914
Kansas,2012-11-13,0.987984,0.987984,0.987984,0.0,1.0697,0.734312,0.734312,0.734312,0.0,0.8980670000000001
Northeastern,2012-11-13,0.932401,0.932401,0.932401,0.0,0.9455899999999999,0.918056,0.918056,0.918056,0.0,0.9889469999999999
Princeton,2012-11-13,0.9044030000000001,0.9044030000000001,0.0,0.9044030000000001,1.02086,0.840936,0.840936,0.0,0.840936,0.9661350000000001
UNC Wilmington,2012-11-13,0.8540469999999999,0.8540469999999999,0.8540469999999999,0.0,0.961003,0.752071,0.752071,0.752071,0.0,1.04502
Richmond,2012-11-13,1.16323,1.16323,1.16323,0.0,1.0430700000000002,0.581617,0.581617,0.581617,0.0,1.01566
Wichita St,2012-11-13,1.0672700000000002,1.0672700000000002,1.0672700000000002,0.0,1.10456,0.8568209999999999,0.8568209999999999,0.8568209999999999,0.0,0.9074260000000001
VCU,2012-11-13,1.1063100000000001,1.1063100000000001,1.1063100000000001,0.0,1.01767,0.788245,0.788245,0.788245,0.0,0.8954479999999999
Florida Atlantic,2012-11-13,0.714286,0.714286,0.0,0.714286,0.954946,1.02041,1.02041,0.0,1.02041,1.00424
Mississippi State,2012-11-13,0.862665,0.862665,0.0,0.862665,1.06045,0.911495,0.911495,0.0,0.911495,0.9975459999999999
Georgia State,2012-11-13,0.820895,0.820895,0.0,0.820895,0.998826,1.10448,1.10448,0.0,1.10448,0.870605
BYU,2012-11-13,0.977081,0.977081,0.977081,0.0,1.04504,0.79614,0.79614,0.79614,0.0,0.9151739999999999
