team,opponent,team_score,opp_score,date,OT,neutral,road_game,ORtg,DRtg,Pace,FTr,3PAr,TSP,TRBP,ASTP,STLP,BLKP,eFGP,TOVP,ORBP,FT,OeFGP,OTOVP,OORBP,OFT
Alabama A&M,Arkansas-Pine Bluff,64,72,2014-01-11,0,False,False,92.8,104.3,69.2,.690,.452,.574,46.4,63.2,10.1,12.9,.536,24.7,22.2,.452,.460,17.8,69.0,.520
Alabama A&M,Mississippi Valley State,68,59,2014-01-13,0,False,False,103.0,89.4,66.0,.564,.200,.488,55.6,60.0,7.6,20.5,.482,9.3,33.3,.273,.412,13.3,74.4,.211
Alabama A&M,Alabama State,58,67,2014-01-18,1,False,True,81.7,94.4,63.3,.362,.362,.527,48.4,65.0,5.6,2.1,.489,26.9,26.9,.255,.402,17.3,63.9,.295
Alabama A&M,Southern,52,66,2014-01-25,0,False,True,78.8,100.0,65.9,.596,.362,.431,40.4,25.0,3.0,7.9,.362,16.8,15.2,.383,.411,11.5,75.0,.644
Alabama A&M,Alcorn State,64,70,2014-01-27,1,False,True,94.1,102.9,60.1,.453,.313,.411,47.8,42.9,5.9,2.3,.344,11.5,37.5,.313,.500,13.8,62.1,.373
Alabama A&M,Texas Southern,63,62,2014-02-01,0,False,False,105.0,103.3,59.7,.298,.362,.587,51.8,79.2,5.0,9.7,.606,15.8,26.1,.128,.478,17.0,69.7,.422
Alabama A&M,Prairie View A&M,67,55,2014-02-03,0,False,False,101.5,83.3,65.6,.625,.271,.538,49.2,81.8,10.6,9.8,.490,14.0,24.0,.417,.394,16.0,67.6,.269
Alabama A&M,Arkansas-Pine Bluff,61,64,2014-02-08,0,False,True,89.7,94.1,67.7,.308,.346,.512,49.2,61.9,16.2,3.7,.471,18.0,21.9,.231,.534,26.7,79.3,.386
Alabama A&M,Mississippi Valley State,91,82,2014-02-10,0,False,True,111.0,100.0,82.0,1.000,.327,.630,61.4,37.0,6.1,2.6,.602,22.9,34.6,.653,.418,10.2,77.3,.655
Alabama A&M,Alabama State,68,65,2014-02-15,1,False,False,93.2,89.0,64.5,.411,.286,.508,49.3,45.8,4.1,12.2,.464,14.3,19.4,.286,.420,14.5,72.5,.321
Alabama A&M,Southern,62,70,2014-02-22,0,False,False,86.1,97.2,72.3,.269,.288,.529,40.7,52.2,6.9,8.3,.510,26.5,17.9,.173,.583,25.6,65.4,.292
Alabama A&M,Alcorn State,56,64,2014-02-24,0,False,False,84.8,97.0,65.6,.211,.439,.447,34.4,61.9,6.1,2.4,.421,13.8,12.5,.140,.490,19.0,58.6,.300
Alabama A&M,Prairie View A&M,72,65,2014-03-01,0,False,True,101.4,91.5,71.3,.587,.457,.612,52.3,57.1,11.3,16.3,.576,24.7,33.3,.413,.395,18.7,65.8,.351
Alabama A&M,Texas Southern,58,79,2014-03-03,0,False,True,85.3,116.2,68.3,.218,.400,.478,39.4,52.4,8.8,15.4,.436,14.2,10.0,.182,.500,12.3,63.9,.317
Alabama A&M,Jackson State,72,59,2014-03-06,0,False,False,107.5,88.1,66.5,.580,.380,.564,54.0,72.7,16.4,20.5,.490,11.3,30.8,.460,.333,15.2,70.3,.426
Alabama A&M,Grambling,80,63,2014-03-08,0,False,False,117.6,92.6,68.1,.267,.300,.592,52.1,71.0,7.4,7.3,.592,14.1,37.5,.150,.450,17.9,63.4,.150
Alabama A&M,Arkansas-Pine Bluff,69,50,2014-03-13,0,True,False,100.0,72.5,69.0,.509,.283,.524,63.6,60.9,14.5,14.3,.472,21.7,46.9,.358,.349,19.9,79.4,.245
Alabama A&M,Prairie View A&M,49,55,2014-03-14,0,True,False,77.8,87.3,63.1,.415,.283,.386,47.1,31.3,12.7,18.6,.311,16.1,37.1,.302,.356,18.0,57.1,.346
Alabama,Oklahoma,73,82,2013-11-08,0,True,False,105.8,118.8,69.0,.279,.246,.528,46.5,13.8,8.7,4.8,.500,17.0,36.4,.197,.500,10.8,55.3,.302
