Name,TOFP,TOP,POSS,REBD,FTD,Three_D,REB,REBO,Three_O,FTO
Pepperdine,0.162255,0.167878,65.4677,0.696281,0.244028,0.273084,0.487241,0.265781,4.58065,21.6802
NC-Wilmgton,0.175176,0.154744,69.9843,0.695351,0.32129,0.334646,0.49095,0.299424,4.90323,20.8342
Central Mich,0.176559,0.138616,67.4789,0.704918,0.254427,0.344029,0.488301,0.263825,9.82759,21.8204
Morehead St,0.186659,0.17129,68.3289,0.74373,0.354322,0.337302,0.525295,0.321537,6.40625,20.4434
Auburn,0.182989,0.16497,70.179,0.67349,0.28354,0.332776,0.45778,0.247971,7.26471,24.7686
New Orleans,0.183089,0.189088,71.1697,0.687417,0.293806,0.37844,0.507106,0.326757,4.26923,24.8053
U Mass,0.150003,0.174562,70.4254,0.707203,0.2552,0.349817,0.515112,0.324165,4.5,23.6065
VA Military,0.177273,0.16583,80.0679,0.689694,0.288565,0.341981,0.472434,0.297814,10.9286,17.3067
St Johns,0.163123,0.135471,69.5938,0.673321,0.243139,0.326379,0.469525,0.255969,6.0,20.1617
Indiana St,0.178447,0.185949,68.9479,0.706952,0.261266,0.385567,0.476877,0.227119,7.33333,22.1423
Utah Val St,0.15437,0.176427,63.0772,0.704878,0.265417,0.342799,0.484766,0.261714,5.60714,18.8544
Idaho,0.13569,0.152634,70.8768,0.747986,0.299517,0.362974,0.522357,0.289286,7.85714,21.9697
Northeastrn,0.137469,0.189674,65.4707,0.771646,0.192773,0.344029,0.541589,0.279605,5.8,22.6055
Ark Pine Bl,0.214964,0.208955,67.2746,0.619048,0.310593,0.369069,0.449173,0.278188,6.34375,18.4412
Youngs St,0.151993,0.1519,70.0853,0.669704,0.263943,0.379368,0.464467,0.240659,6.62069,20.1724
Sacred Hrt,0.156144,0.16561,72.4952,0.683721,0.243879,0.346687,0.507943,0.313744,5.29032,18.9557
Coastal Car,0.146773,0.148176,66.2854,0.739712,0.254287,0.337985,0.534806,0.329741,6.7,22.8808
San Jose St,0.153813,0.189825,65.0161,0.68615,0.300854,0.388211,0.444149,0.23027,6.64286,15.3259
Hawaii,0.200408,0.159685,71.1678,0.680502,0.281765,0.347896,0.486718,0.315888,6.54545,20.6086
Kentucky,0.180936,0.134665,66.1622,0.716578,0.227356,0.270898,0.549499,0.387719,5.20513,26.547
Lafayette,0.146663,0.15572,66.4621,0.669753,0.20876,0.380261,0.481322,0.261364,7.8125,18.9488
VCU,0.20493,0.132315,69.7389,0.720951,0.253942,0.34488,0.491702,0.301176,8.13889,20.8715
Wisconsin,0.142288,0.107402,61.0885,0.785265,0.171279,0.375712,0.549497,0.305607,7.20513,24.2607
Alabama,0.161775,0.162386,64.8742,0.702519,0.279429,0.326121,0.49678,0.278125,6.60606,24.4295
E Washingtn,0.154735,0.138653,70.2902,0.708538,0.258808,0.386997,0.492462,0.270669,9.9375,20.9844
Miss State,0.162215,0.20044,66.0294,0.719752,0.261874,0.332258,0.517359,0.310508,4.29032,23.6942
