Name,FTO,FTD,Three_O,Three_D,REBO,REBD,REB,TOP,TOFP,POSS
Bucknell,20.3344,0.229501,7.36842,0.371191,0.253472,0.75082,0.504717,0.169964,0.17062,70.6605
Iowa,20.2929,0.204937,8.47368,0.360262,0.292945,0.703857,0.504698,0.159559,0.154299,77.0296
Canisius,20.2764,0.233717,9.72222,0.353093,0.299308,0.677474,0.493721,0.166631,0.171392,75.0736
Fresno St,20.269,0.312958,6.375,0.325373,0.259481,0.735294,0.50448,0.174713,0.180465,73.0797
Old Dominion,20.2663,0.264963,5.0,0.341538,0.353488,0.757951,0.54048,0.156969,0.187869,66.6132
North Texas,20.2058,0.257628,5.46667,0.359375,0.258656,0.697531,0.481516,0.168759,0.168449,70.9367
Citadel,20.1993,0.300324,11.4118,0.383754,0.254902,0.672043,0.445,0.147553,0.168445,87.3647
App State,20.1976,0.302035,8.07143,0.382979,0.272912,0.72807,0.494747,0.165678,0.148841,73.2054
Alab A&M,20.1957,0.250305,4.75,0.386228,0.252,0.647312,0.452902,0.18076,0.117886,67.1555
TX-Arlington,20.1892,0.266056,7.73333,0.3125,0.298056,0.722892,0.514098,0.174086,0.171623,71.9858
Jacksonville,20.1871,0.26138,8.75,0.373596,0.244111,0.726477,0.486855,0.161976,0.176673,69.6609
Liberty,20.1776,0.292008,9.1875,0.371601,0.114224,0.736142,0.427705,0.160559,0.18474,65.9766
Seattle,20.1095,0.23218,8.4,0.351899,0.208678,0.70566,0.469314,0.179527,0.161584,74.5917
Troy,20.1067,0.26168,8.75,0.340369,0.300557,0.736059,0.517036,0.165319,0.153346,73.0477
TX-San Ant,20.1009,0.28273,4.8125,0.31307,0.318182,0.773655,0.528698,0.165013,0.159529,71.5141
Marquette,20.1005,0.250586,10.0588,0.381098,0.265748,0.725417,0.501761,0.151764,0.184002,73.4544
Portland,20.0908,0.201245,7.6875,0.362694,0.227898,0.690647,0.475452,0.162595,0.135936,71.55
NJIT,20.0826,0.2671,9.05882,0.359459,0.266323,0.76908,0.507113,0.173458,0.182375,74.9846
E Washingtn,20.0424,0.263738,7.8125,0.371658,0.243665,0.733716,0.486559,0.147526,0.132649,71.4109
Michigan,20.0261,0.188295,9.38889,0.431095,0.248016,0.746032,0.492687,0.126586,0.172986,65.4701
Vermont,19.968,0.202639,6.22222,0.392361,0.290019,0.737336,0.517241,0.153516,0.179961,68.1646
SE Louisiana,19.9452,0.274767,6.29412,0.349315,0.329609,0.709497,0.517736,0.193523,0.188495,71.9618
S Carolina,19.9384,0.310391,6.75,0.284091,0.350775,0.693957,0.519366,0.166479,0.21704,70.5297
Kansas,19.9021,0.247695,8.76471,0.351351,0.351494,0.728594,0.539361,0.14372,0.160232,74.1868
Providence,19.8766,0.201231,7.10526,0.318436,0.252101,0.736207,0.493002,0.162418,0.186808,68.5809
California,19.874,0.221343,6.55556,0.311927,0.297723,0.807754,0.553545,0.155078,0.140592,70.4437
Charlotte,19.8666,0.266861,8.0,0.353698,0.217311,0.673004,0.446735,0.155415,0.175773,77.0766
Northwestern,19.7609,0.265012,8.47368,0.304225,0.29698,0.713846,0.518519,0.139265,0.154261,70.048
Massachusetts Lowell,19.76,0.266601,7.72222,0.327411,0.245353,0.696223,0.4917,0.201496,0.157797,77.0354
Rhode Island,19.7554,0.309877,7.17647,0.320158,0.332714,0.741811,0.522689,0.138396,0.17816,69.3779
Maryland BC,19.7476,0.195547,8.73333,0.357542,0.236364,0.724138,0.490428,0.152088,0.161504,74.6083
Alabama,19.7259,0.24362,6.75,0.343949,0.319231,0.792157,0.543875,0.168031,0.194084,70.3391
